WaferID,X,Y,BI_TEST_13,BI_TEST_14,BI_TEST_15,BI_TEST_16,BI_TEST_17,BI_TEST_18,BI_TEST_19,BI_TEST_20,BI_TEST_21,BI_TEST_22,BI_TEST_23,BI_TEST_24,BI_TEST_25,BI_TEST_26,BI_TEST_27,BI_TEST_28,BI_TEST_29,BI_TEST_30,BI_TEST_31,BI_TEST_32,BI_TEST_33,BI_TEST_34,BI_TEST_35,BI_TEST_36,BI_TEST_37,BI_TEST_38,BI_TEST_39,BI_TEST_40,BI_TEST_41,BI_TEST_42,BI_TEST_43,BI_TEST_44,BI_TEST_45,BI_TEST_46,BI_TEST_47,BI_TEST_48,BI_TEST_49,BI_TEST_50,BI_TEST_51,BI_TEST_52,BI_TEST_53,BI_TEST_54,BI_TEST_55,BI_TEST_57,BI_TEST_60,BI_TEST_63,BI_TEST_64,BI_TEST_65,BI_TEST_68,BI_TEST_69,BI_TEST_70,BI_TEST_72,BI_TEST_73,BI_TEST_75,BI_TEST_76,BI_TEST_81,BI_TEST_82,BI_TEST_84,BI_TEST_85,BI_TEST_90,BI_TEST_91,BI_TEST_93,BI_TEST_94,BI_TEST_99,BI_TEST_100,BI_TEST_102,BI_TEST_103,BI_TEST_108,BI_TEST_109,BI_TEST_111,BI_TEST_112,BI_TEST_118,BI_TEST_121,BI_TEST_122,BI_TEST_123,BI_TEST_125,BI_TEST_126,BI_TEST_127,BI_TEST_128,BI_TEST_129,BI_TEST_130,BI_TEST_131,BI_TEST_132,BI_TEST_133,BI_TEST_134,BI_TEST_135,BI_TEST_136,BI_TEST_137,BI_TEST_138,BI_TEST_139,BI_TEST_140,BI_TEST_141,BI_TEST_142,BI_TEST_143,BI_TEST_144,BI_TEST_145,BI_TEST_146,BI_TEST_147,BI_TEST_148,BI_TEST_149,BI_TEST_150,BI_TEST_151,BI_TEST_152,BI_TEST_153
WAFER_20,-15,66,19.5776748657227,2.5368258953094505,-0.28739535808563205,-0.288022428750992,-0.287411034107208,-0.28727924823761,-0.17844855785369898,0.312735080718994,0.313499689102173,0.310823261737823,0.31378430128097495,0.312245011329651,-0.286985129117966,-0.287008464336395,-0.290073454380035,-0.28758871555328397,-0.28900513052940396,-0.179597362875938,0.31284305453300504,0.31465664505958596,0.313303530216217,0.31317630410194397,-0.132746279239655,3.29469132423401,-26.695379347074798,-26.7977757175686,-0.582342011057335,-0.5748646572101279,-0.576853722122905,-0.587693648412824,-0.575070316699566,-0.584208635245886,0.294595992045288,0.239672772295307,23.8350912695751,23.818269255571103,23.818158297217497,23.9627770497464,23.846374460845297,23.7987278524088,-0.209304403142596,69.3680340191349,0.72089421749115,340.508064255118,378.808501409367,376.76515057682997,0.119052813829512,0.00147443945941461,375.99890492856497,0.119052813829512,0.0144844252147891,382.480124244466,382.384343538433,382.448197342455,-0.0319269020110369,382.480124244466,382.448197342455,382.46417534537596,-0.0159488990902901,382.51205114647695,382.384343538433,382.448197342455,-0.0638538040220737,382.352416636422,382.368394639343,382.336467737332,-0.0159488990902901,382.480124244466,382.46417534537596,382.448197342455,-0.0319269020110369,378.77657450735603,376.797077478841,0.0871334862040385,0.0333921690298666,376.030831830576,0.135012470536822,0.00147443945941461,-0.0319269020110369,0.0319269020110369,-0.0319193276254737,0.0319177289043182,0.0319269020110369,0.0159596567073095,-0.0130099859774191,341.797829605639,1.2897653505206101,-0.28813058137893705,-0.28787535429000893,-0.287116914987564,-0.287720412015915,-0.178889721632004,0.31317627429962197,0.313793838024139,0.311264455318451,0.31378430128097495,0.311950922012329,-0.287279278039932,-0.287596762180328,-0.290073454380035,-0.28788283467292797,-0.28871104121208196,-0.18018549680709803,0.31284305453300504
WAFER_20,-22,67,3.7998619079589804,1.8354753255844098,-0.27905213832855197,-0.278470277786255,-0.27878749370575,-0.279656618833542,-0.17327973246574402,0.310101717710495,0.31028786301612893,0.307734489440918,0.310779720544815,0.307783037424088,-0.27891993522644004,-0.278949946165085,-0.281564146280289,-0.277991116046906,-0.28128764033317605,-0.174028053879738,0.3105241060256961,0.31023907661438,0.309531599283218,0.310985654592514,-0.127865716814995,3.2865629196167006,-26.836049073608603,-26.928499210043803,-0.279824718063537,-0.272639709919531,-0.27651338996292896,-0.27732889407161604,-0.274745133310716,-0.264425779050725,0.19794109107351698,0.23099691759398397,23.819080524845,23.6948289966676,23.681592210778,23.734792193863502,23.757344024488695,23.8911416090559,-0.251041484489178,94.73700629314409,0.6753599047660831,368.914304999635,411.07606375589995,407.53209032118303,0.0270271840463465,0.0929034769114878,406.43059764988703,0.0429796820355932,0.124817034929947,415.65764695406,415.67362495698,415.769405663013,0.11175870895385699,415.78535456210403,415.817281464115,415.833259467036,0.0479049049317837,415.242597227916,415.306451031938,415.306451031938,0.0638538040220737,415.29050213284796,415.29050213284796,415.29050213284796,0.0,415.25857523083704,415.306451031938,415.306451031938,0.0478758011013269,411.012209951878,407.56401722319396,0.00487781104396845,0.140773821044604,406.46252455189796,0.0270271840463465,0.156730607159261,-0.0638538040220737,0.0319269020110369,-0.0221493721141997,0.0478703441331163,0.0319269020110369,-0.0159524979892467,0.031913572229314,370.689143892378,1.77483889274299,-0.278315544128418,-0.278617590665817,-0.27834546566009494,-0.27921465039253196,-0.174014911055565,0.310396373271942,0.31058257818221996,0.307734489440918,0.31063240766525296,0.3079301118850711,-0.278625279664993,-0.278949946165085,-0.28141683340072604,-0.278727650642395,-0.280552238225937,-0.174175098538399,0.31081873178482106
WAFER_09,-10,-13,3.3468031883239706,1.74082815647125,-0.28617745637893705,-0.28705245256424,-0.28716871142387396,-0.286905407905579,-0.18491877615451802,0.320668131113052,0.32066822052002003,0.31919705867767306,0.320912271738052,0.31825482845306396,-0.28719964623451194,-0.286611169576645,-0.288964956998825,-0.285837173461914,-0.289359480142593,-0.185943424701691,0.320825457572937,0.321403831243515,0.32121652364730796,0.320521056652069,-0.138013079762459,3.2806017398834197,-26.986474040313603,-27.0445671048947,-0.155244464394855,-0.168969506830763,-0.14516091084715302,-0.15976173983745,-0.162586772489703,-0.142574464234713,0.164139834168964,0.168844465520124,24.105116608552603,24.081742594717102,24.0535555349197,24.1014349739999,24.1336256294744,24.013339498196697,-0.17475353786267098,58.7891518080141,0.6817509531974789,343.677354976535,374.703842680901,372.772075934336,0.0297979667607251,0.0254664023202622,372.356968000531,0.0457380622265191,0.00647107611939646,377.354008378461,377.30613257736,377.32208147644997,-0.0319269020110369,377.417891286314,377.49769398942595,377.44981818832497,0.0319269020110369,377.03471025452,377.146468963474,377.098564058542,0.0638538040220737,377.162446966395,377.242249669507,377.194373868406,0.0319269020110369,377.44981818832497,377.354008378461,377.38593528047204,-0.0638829078525305,374.59208397194703,372.724171029404,0.0935583415184738,0.00647107611939646,372.34101910144096,0.0457380622265191,0.00647107611939646,-0.11175870895385699,-0.0479049049317837,0.0637603747577487,-0.0189953262008657,-0.0159488990902901,0.0,0.0,345.451844623312,1.77448964677751,-0.28647169470787,-0.28690534830093395,-0.286727428436279,-0.28675827383995095,-0.185360014438629,0.320668131113052,0.320521116256714,0.31890282034874,0.320765197277069,0.31766647100448603,-0.286611199378967,-0.286316931247711,-0.28852361440658597,-0.286278426647186,-0.28965365886688205,-0.18550221621990196,0.320825457572937
WAFER_09,-20,0,3.1311674118042006,1.94242715835571,-0.284667998552322,-0.284011244773865,-0.284901112318039,-0.28446000814437894,-0.17819409072399103,0.31467533111572304,0.31540068984031705,0.312832057476044,0.31400901079177895,0.310459166765213,-0.28520280122756997,-0.28372466564178495,-0.286580353975296,-0.28510922193527194,-0.29068326950073203,-0.17954088747501398,0.31459730863571195,0.315831929445267,0.315400779247284,0.31481239199638394,-0.13885173201561,3.2883896827697794,-27.1835870080395,-27.020067136618298,-0.201863656457135,-0.214236663964584,-0.20482026741319698,-0.210116240850766,-0.20594912086835396,-0.21354897228320602,0.21692822826935299,0.22541470912074105,24.213151846197402,24.3226004386088,24.3695340031991,24.2844780586893,24.2395581153687,24.206727175624103,-0.18561968317953895,65.224761783611,0.682701051235199,356.05113953352003,385.543156880885,383.532547857612,0.139705036872328,0.130353527083571,382.814498152584,0.139705036872328,0.14630496991685502,389.1654196195299,389.30901791900396,389.261142117903,0.0957224983721972,389.340944821015,389.356893720105,389.324966818094,-0.0159780029207468,389.11754381842906,389.02179221622595,389.1654196195299,0.0478758011013269,389.1654196195299,389.069668017328,389.11754381842906,-0.0478758011013269,389.11754381842906,389.261142117903,389.11754381842906,0.0,385.543156880885,383.612350560725,0.155655371258945,0.11440208425028699,382.926198653877,0.139705036872328,0.0665477415395799,0.0,0.0798027031123638,0.0159503343866163,-0.0159514428332841,0.111700501292944,0.0,-0.0797572283772752,357.663171598688,1.6120320651680202,-0.284520924091339,-0.284158289432526,-0.28416579961776695,-0.28446000814437894,-0.178488329052925,0.31452828645706205,0.315106570720673,0.31312623620033303,0.31415608525276195,0.310606241226196,-0.284761607646942,-0.28401878476142894,-0.286433279514313,-0.284667938947678,-0.290241986513138,-0.17909947037696802,0.315038591623306
WAFER_01,-12,-12,6.52486705780029,1.7522176504135099,-0.28643420338630704,-0.286558151245117,-0.286619633436203,-0.286333233118057,-0.186109691858292,0.323448538780212,0.323377937078476,0.321279585361481,0.323083966970444,0.319481462240219,-0.286782175302505,-0.286875158548355,-0.289637237787247,-0.286581039428711,-0.292340576648712,-0.18584397435188302,0.323671847581863,0.32378849387168895,0.32445770502090504,0.32329148054122897,-0.137223839759827,3.2909131050109903,-26.4613663603086,-26.291627364116696,-0.242342736100909,-0.241083938590236,-0.231006708872883,-0.24165859713321,-0.237409324199689,-0.23413171845732,0.205216380777529,0.190995550042317,24.1044126596535,24.0653062064666,24.1092457144987,24.077817215584197,24.1223351622466,24.157949155778603,-0.151056468666866,69.2794128553942,0.694435000419617,359.313737135381,381.43887650221603,378.532626200467,0.11016640399930099,0.16490756138409804,378.05357715114997,0.11016640399930099,0.16490756138409804,385.0317734759299,385.0317734759299,384.983868570998,-0.0479049049317837,384.888058761135,384.983868570998,384.983868570998,0.0958098098635674,384.920014766976,384.872109862044,384.840153856203,-0.0798609107732773,384.856131859124,384.920014766976,384.872109862044,0.0159780029207468,384.74434404633905,384.76032204926,384.76032204926,0.0159780029207468,381.390971597284,378.436816390604,0.12612170507964,0.16490756138409804,378.005672246218,0.12612170507964,0.14894862943037898,-0.0479049049317837,-0.0958098098635674,0.0159553010803393,0.0,-0.0479049049317837,0.0159553010803393,-0.015958931953719,360.76526157558,1.45152444019914,-0.28672823309898404,-0.28670516610145597,-0.286913692951202,-0.286627322435379,-0.186109691858292,0.323742628097534,0.32396599650383,0.32172057032585105,0.32352501153945895,0.319922775030136,-0.286782175302505,-0.287022173404694,-0.28949022293090804,-0.286875069141388,-0.291752129793167,-0.186138197779655,0.32411289215087896
WAFER_01,-7,3,3.3714213371276895,1.6979699134826698,-0.29158952832221996,-0.29131093621253995,-0.29146590828895597,-0.292062193155289,-0.18564930558204698,0.317344278097153,0.317020297050476,0.31437209248542797,0.317892998456955,0.31436213850975,-0.29180714488029497,-0.29148927330970803,-0.294284641742706,-0.291922897100449,-0.29530662298202504,-0.186104997992516,0.31740182638168296,0.31668627262115506,0.317137479782104,0.317588716745377,-0.14116607606411,3.28088784217834,-27.1138687821804,-27.006910386262497,-0.175535774360469,-0.16950214387634305,-0.169337795341562,-0.185815409281531,-0.18716370675520003,-0.17093286430736,0.18505774335153502,0.211760792012683,24.2543410422513,24.3032154685352,24.221704734372896,24.119794034049804,24.1067700699205,24.2342757701408,-0.190789705811767,57.145553000737,0.68773627281189,334.70120979473,363.569939509034,361.717044143006,0.021291162610737,0.211199690625108,361.11005465500097,0.0265649635622367,0.19522599359334,366.5569529403,366.57293094322097,366.604857845232,0.0479049049317837,366.748630767688,366.76460877060896,366.748630767688,0.0,366.365275112912,366.365275112912,366.39720201492304,0.0319269020110369,366.493040928617,366.524996934459,366.46111402660597,-0.0319269020110369,366.540974937379,366.540974937379,366.604857845232,0.0638829078525305,363.617844413966,361.685088137165,0.00533912070110887,0.19522599359334,361.014215741307,0.00533912070110887,0.19522599359334,0.0479049049317837,-0.0319560058414936,-0.015952041465539,-0.0159736970317681,-0.0958389136940241,-0.0212258424170386,0.0,335.991615429521,1.2904056347906598,-0.29158952832221996,-0.29131093621253995,-0.292201459407806,-0.292503535747528,-0.18594345450401298,0.316755712032318,0.31731453537940996,0.314077854156494,0.31818723678588895,0.31465637683868397,-0.292101413011551,-0.29148927330970803,-0.29457888007164,-0.29221713542938205,-0.29530662298202504,-0.185957908630371,0.31740182638168296
WAFER_01,-24,8,3.40077900886536,1.84438621997833,-0.287462830543518,-0.28680530190467796,-0.28740113973617604,-0.28754830360412603,-0.17907679080963101,0.31099870800971996,0.312606543302536,0.310184359550476,0.310772895812988,0.306046575307846,-0.28740876913070695,-0.28710705041885404,-0.289522260427475,-0.28716856241226196,-0.292889565229416,-0.179688021540642,0.311949610710144,0.31347900629043607,0.311430126428604,0.31157705187797496,-0.138336047530174,3.278076171875,-27.080457584816,-26.9099091383396,-0.237130166169663,-0.246629582534297,-0.240824647335103,-0.23881875677034303,-0.241861727090509,-0.24148295096892997,0.21324152044144298,0.216587892509779,24.0659355768003,24.115790438372603,24.141299945767997,24.1153666138416,24.0342396864435,24.081284209387398,-0.21211033640611301,91.8777732294984,0.686181783676147,358.307996066287,403.782090870664,399.47367622517,0.139705036872328,0.0984506343115754,398.54817441664596,0.139705036872328,0.11440208425028699,408.649008022621,408.680934924632,408.696883823723,0.0478758011013269,408.936233725399,408.95221172832,408.96816062741,0.0319269020110369,408.88835792429705,409.03198532760103,409.00005842559,0.111700501292944,409.03198532760103,409.04793422669195,409.079861128703,0.0478758011013269,408.920284826308,408.904335927218,408.95221172832,0.0319269020110369,404.516118578613,400.319404434413,0.139705036872328,0.130353527083571,399.4258295279,0.12375470248571198,0.0984506343115754,0.7340277079492808,0.845728209242225,0.0,0.0319028927719955,0.877655111253262,-0.0159503343866163,-0.0159514499387114,359.59761589765503,1.28961983136833,-0.287168622016907,-0.28680530190467796,-0.28725409507751504,-0.286371797323227,-0.178782552480698,0.310557514429092,0.31216534972190896,0.30959597229957597,0.310625821352005,0.306340724229813,-0.28740876913070695,-0.28651881217956504,-0.28922808170318604,-0.28658017516136197,-0.293036639690399,-0.17924660444259602,0.31136122345924394
WAFER_01,-9,10,20.8280353546143,2.54374241828918,-0.295732110738754,-0.296336442232132,-0.295127809047699,-0.296165496110916,-0.19036561250686604,0.316519170999527,0.31665658950805703,0.31415599584579496,0.31801038980484003,0.31507793068885803,-0.29497286677360496,-0.295847356319427,-0.29820084571838396,-0.29557693004608193,-0.29896858334541304,-0.189610555768013,0.31684330105781605,0.317598819732666,0.316676318645477,0.31683337688446006,-0.143282294273376,3.30012845993042,-26.8553067144239,-26.8594121735077,-0.5925527375438829,-0.590323736560094,-0.589675892115338,-0.6002291002005219,-0.5912607434765961,-0.58172503258902,0.21663349514256,0.21180042608648397,24.050645151874104,24.079839931801,24.0979279624298,24.056047550402603,24.0800545725506,24.0361659962218,-0.208469444373804,52.7052543475293,0.741337895393372,334.672484314069,363.34831384010596,361.830665497109,0.12441589092304599,0.0533835375904346,361.35141272097803,0.22012181943864603,0.0853361115105145,366.255815606564,366.175925591961,366.19190359488096,-0.0639120116829872,366.335676517338,366.351654520258,366.303749615327,-0.0319269020110369,366.080086678267,366.15997669287003,366.15997669287003,0.079890014603734,366.032152669504,366.048130672425,366.016174666584,-0.0159780029207468,366.048130672425,366.12802068702905,366.12802068702905,0.079890014603734,363.220518920571,361.766753485426,0.204170831352712,0.0853361115105145,361.38336872682,0.156317867094913,0.0533835375904346,-0.127794919535518,-0.0639120116829872,0.079754940429666,0.0319525739200799,0.0319560058414936,-0.0638039523437328,-0.0319525739200799,337.092496920377,2.4200126063078597,-0.29632055759429904,-0.29707205295562705,-0.296157538890839,-0.29675391316413896,-0.19095394015312198,0.31681337952613803,0.31709787249565097,0.314450174570084,0.318598806858063,0.31463658809661893,-0.296002566814423,-0.296877026557922,-0.29893633723259,-0.29660668969154397,-0.299409925937653,-0.190492942929268,0.317284643650055
WAFER_01,5,18,18.9769268035889,1.8817558288574199,-0.293378323316574,-0.293099790811539,-0.293951004743576,-0.29322332143783597,-0.19021852314472198,0.31799015402793895,0.31798043847084007,0.31709787249565097,0.31918725371360807,0.31596061587333696,-0.293207675218582,-0.2930525541305539,-0.29717117547988897,-0.293811649084091,-0.29632055759429904,-0.18946348130702997,0.31904998421669,0.31862866878509494,0.31976547837257396,0.318304479122162,-0.14070451259613,3.30373740196228,-26.9142237812048,-26.785834052134298,-0.49968991788773603,-0.493224035835738,-0.493793606892723,-0.495553081236721,-0.49701282023306703,-0.48941092245513595,0.21368811076172303,0.20812076684251202,24.0065346588381,23.9692653849488,23.9874389080796,24.056047550402603,24.013697839109202,23.9921009779209,-0.19226342828915197,57.889326853910504,0.7787699699401859,355.807453161106,369.83427708037203,368.092965800315,0.156317867094913,0.0374072506303946,367.58175701834296,0.204170831352712,0.0853361115105145,372.949434677139,373.045302694663,372.901529772207,-0.0479049049317837,373.173097614199,373.173097614199,373.221031622961,0.0479340087622404,373.045302694663,373.093236703426,373.173097614199,0.127794919535518,373.013346688822,373.045302694663,373.045302694663,0.0319560058414936,372.99736868590105,373.061280697584,373.045302694663,0.0479340087622404,369.946093996987,368.220760719851,0.172268855180846,0.0853361115105145,367.58175701834296,0.18821984326677899,0.10131240202326801,0.111816916614771,0.127794919535518,0.0159509880859332,0.0479288608801198,0.0,-0.0159509880859332,0.0159762905127536,356.45280149765296,0.6453483365476129,-0.296467661857605,-0.29618930816650396,-0.296745955944061,-0.29645970463752697,-0.19345434010028797,0.318137258291245,0.318127542734146,0.316950798034668,0.319481462240219,0.316254824399948,-0.296590983867645,-0.29643574357032804,-0.300554364919662,-0.29704800248146096,-0.29970413446426397,-0.192551851272583,0.31934422254562395
WAFER_01,5,21,4.64507579803467,1.8935724496841397,-0.287292689085007,-0.287122547626495,-0.287532776594162,-0.287277191877365,-0.18304894864559199,0.318733245134354,0.319518506526947,0.317753732204437,0.31911718845367404,0.31832438707351696,-0.28736254572868297,-0.28740110993385304,-0.290930598974228,-0.287726193666458,-0.29500442743301397,-0.184643596410751,0.318832963705063,0.31865590810775796,0.31935140490531894,0.318518966436386,-0.136882409453392,3.27678942680359,-27.1238041023025,-26.763656933326303,-0.22699035184814398,-0.21880170208987698,-0.224563876827233,-0.22103127150785398,-0.222522515969104,-0.21666163263489605,0.20509737908014397,0.197807665358596,24.388153178733802,24.296488845720898,24.3319282162702,24.4489929173142,24.3545000557788,24.411538106505798,-0.162748250431832,59.877460444113204,0.6898509860038761,335.672695655376,369.47973421774805,367.675762390718,0.0164136100266887,0.0675101858860216,367.164902854711,0.0314631876108251,0.0355855753753076,372.68860614858596,372.704555047676,372.720533050597,0.0319269020110369,372.99192626960604,372.944021364674,373.007875168696,0.0159488990902901,372.73648194968695,372.73648194968695,372.704555047676,-0.0319269020110369,372.640701243654,372.68860614858596,372.704555047676,0.0638538040220737,372.848240658641,372.848240658641,372.912094462663,0.0638538040220737,369.63939783163397,367.819448001683,0.0164136100266887,0.0834724929177355,367.18085175380094,0.000454677961947425,0.0515478788543078,0.159663613885641,0.14368561096489402,0.0,0.0159623070317139,0.0159488990902901,-0.0310085113142122,0.0159623034790002,337.284989655018,1.61229399964213,-0.28743976354599,-0.287122547626495,-0.287238657474518,-0.287277191877365,-0.18304894864559199,0.319027334451675,0.319371461868286,0.31745961308479304,0.31897011399269104,0.315676301717758,-0.28721550107002297,-0.28740110993385304,-0.290636479854584,-0.28757911920547496,-0.29456308484077504,-0.18449650704860698,0.319274216890335
